,followers_count,text,location,description,statuses_count,screen_name,following,favourites_count,friends_count,created_at,retweet_count,listed_count,user_id,verified,tweet_id
2614,1173,A doctor connected to Putnam Hospital Center says local cases will be brought in by humans bitten elsewhere. https://t.co/r9K8Ys4rha,"Pearl River, New York",Pearl River Patch is your source for local news.,9525,PearlRiverPatch,316,1,316,Wed Jun 23 20:57:45 +0000 2010,0,24,158855363,False,694206618934906881
2615,2829,Experts: Anti Birth Control &amp; Abortion Christian doctrine is causing the Zika virus outbreak to explode https://t.co/4McvWdPXmC,#UniteBlue      North Carolina,"Retired #NavyChief, X-#bodybuilder, #Artist,Competitive Shooter #Atheist; #Humanist, Animal lover. Blocking Ignorant GOP FAKE Patriots Daily :)~",21396,CraigCo62,3143,3365,3143,Mon Sep 02 04:14:13 +0000 2013,0,94,1721163391,False,694206618557419520
2616,1596,A doctor connected to Putnam Hospital Center says local cases will be brought in by humans bitten elsewhere. https://t.co/DgsP2vmqKV,"New City, NY",New City Patch is your source for local news.,12248,NewCityPatch,51,7,51,Tue Apr 06 18:05:54 +0000 2010,0,54,130226736,False,694206616946765824
2617,1826,A doctor connected to Putnam Hospital Center says local cases will be brought in by humans bitten elsewhere. https://t.co/vvUwxZZEVo,"Nyack & Piermont, NY",Nyack-Piermont Patch is your source for local news.,13669,NyackPatch,55,0,55,Tue Jun 22 19:44:23 +0000 2010,0,41,158467267,False,694206615101247488
2618,714,#FollowForFollow WHO meets to decide if Zika virus is a global emergency: The UN health agency warned las... https://t.co/O3ZOBuhJhk #tfb,Kenya,Mention me after you tap that follow button for an instant followback. :),79137,_Dirty_Water_,114,10,114,Thu Jul 19 21:04:22 +0000 2012,0,35,705784747,False,694206612680998913
2619,2033,A doctor connected to Putnam Hospital Center says local cases will be brought in by humans bitten elsewhere. https://t.co/7RXO1EQGww,,"Local news and conversation from Hudson Valley, NY Patches",6231,HVPatch,871,41,871,Tue Jul 10 18:33:10 +0000 2012,0,46,632210824,False,694206612601491461
2620,2553,RT @CNN: The #Zika virus could complicate the launch of the Zica hatchback https://t.co/ZrNJpoBv0M via @CNNMoney https://t.co/brEpkmNFyr,En pèlerinage sur terre.,Je revendique le droit de donner mon avis sur tout et n'importe quoi. Ce compte est accessoirement mon mur des lamentations.,63435,PierreChrist_,691,9419,691,Fri Mar 06 13:15:41 +0000 2009,45,66,23061341,False,694206609422172161
2621,67,GM Mosquitoes With Possible Link To Zika Virus Awaiting Release In Florida https://t.co/X3y1Qz6bM7,,,33454,racketnews,29,0,29,Wed Jan 27 04:45:13 +0000 2010,0,29,108837407,False,694206608360931328
2622,2583,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/R4Xp0sFgDN,Bedford,Bedford-Katonah Patch is your source for local news.,8471,bedkatonahpatch,455,3,455,Fri Mar 05 15:41:16 +0000 2010,0,79,120138344,False,694206607832403968
2623,2044,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/tutt2wd7J3,"New Rochelle, NY",New Rochelle Patch is your source for local news.,6909,NewRoPatch,206,0,206,Wed Jun 23 21:03:51 +0000 2010,0,54,158857042,False,694206607014518785
