,Column1,Column2,Column3
253,@FinalFenwayFict,@FinalFenwayFict,Tweet
254,@marcioapviana,@CNN,RT
255,@coldestwinters,@coldestwinters,Tweet
256,@FinalFenwayFict,@FinalFenwayFict,Tweet
257,@_Dirty_Water_,@_Dirty_Water_,Tweet
258,@lillyvelez28,@nytimes,RT
259,@ChapKiscoPatch,@ChapKiscoPatch,Tweet
260,@SportsDayOnline,@SportsDayOnline,Tweet
261,@ViralpressNews,@ViralpressNews,Tweet
262,@NewCityPatch,@NewCityPatch,Tweet
263,@EmergencyBlog,@EmergencyBlog,Tweet
264,@PearlRiverPatch,@PearlRiverPatch,Tweet
265,@ConversationUK,@ConversationUK,Tweet
266,@RivertownsPatch,@RivertownsPatch,Tweet
267,@MN_350,@ClimateReality,RT
268,@ferasanwar24,@CNN,RT
269,@dlNewZealand,@dlNewZealand,Tweet
270,@_Dirty_Water_,@_Dirty_Water_,Tweet
271,@PierreChrist_,@CNN,RT
272,@callmemalig,@ajplus,RT
273,@NewCityPatch,@NewCityPatch,Tweet
274,@PelhamPatch,@PelhamPatch,Tweet
275,@Bettymartinuk,@Newsweek,RT
276,@DrRobertGlatter,@bermaninstitute,RT
277,@nicolewesth,@nicolewesth,Tweet
278,@matatias,@CNN,RT
279,@bedkatonahpatch,@bedkatonahpatch,Tweet
280,@edisonlsm,@CNN,RT
281,@RainerKurlemann,@HelenBranswell,RT
282,@bonelam,@CNN,RT
283,@racketnews,@racketnews,Tweet
284,@JFairBairnLLJ,@JFairBairnLLJ,Tweet
285,@fodido,@CNN,RT
286,@ICHLibGH,@ICHLibGH,Tweet
287,@RainerKurlemann,@HelenBranswell,RT
288,@coldestwinters,@coldestwinters,Tweet
289,@HillaryKenyon,@CNN,RT
290,@DailyPublius,@DailyPublius,Tweet
291,@DrRobertGlatter,@bermaninstitute,RT
292,@naijakonnect,@naijakonnect,Tweet
293,@lisabari,@lisabari,Tweet
294,@medsane,@CNN,RT
295,@lisabari,@lisabari,Tweet
296,@WrigleyRes,@WrigleyRes,Tweet
297,@tamys46,@STcom,RT
298,@LakersGold,@CNN,RT
299,@lilvasheer,@lilvasheer,Tweet
300,@predictech,@CDCgov,RT
301,@racketnews,@racketnews,Tweet
302,@SMolloyDVM,@Westxgal,RT
303,@callmemalig,@ajplus,RT
304,@tamys46,@STcom,RT
305,@WrigleyRes,@WrigleyRes,Tweet
306,@ICHLibGH,@ICHLibGH,Tweet
307,@FinalFenwayFict,@FinalFenwayFict,Tweet
308,@AnnemarieVtW,@AnnemarieVtW,Tweet
309,@marcioapviana,@CNN,RT
310,@PChesterPatch,@PChesterPatch,Tweet
311,@TraveleadsUK,@TraveleadsUK,Tweet
312,@predictech,@CDCgov,RT
313,@nicolewesth,@nicolewesth,Tweet
314,@muryi16,@muryi16,Tweet
315,@predictech,@CDCgov,RT
316,@ScarsdalePatch,@ScarsdalePatch,Tweet
317,@bonelam,@CNN,RT
318,@Lajanz_cong,@Lajanz_cong,Tweet
319,@smurphy2001,@frontlinepbs,RT
320,@aetiology,@HelenBranswell,RT
321,@diboua,@CNN,RT
322,@BronxvillePatch,@BronxvillePatch,Tweet
323,@_Dirty_Water_,@_Dirty_Water_,Tweet
324,@fractalbears,@fractalbears,Tweet
325,@coldestwinters,@coldestwinters,Tweet
326,@aetiology,@HelenBranswell,RT
327,@matatias,@CNN,RT
328,@UwNoah,@UwNoah,Tweet
329,@diboua,@CNN,RT
330,@fractalbears,@fractalbears,Tweet
331,@lisabari,@lisabari,Tweet
332,@RealTimeHack,@RealTimeHack,Tweet
333,@finance_sumlify,@CNN,RT
334,@sthi1285,@sthi1285,Tweet
335,@TarrytownsPatch,@TarrytownsPatch,Tweet
336,@SuruGeeta,@VaibhavHariom,RT
337,@NyackPatch,@NyackPatch,Tweet
338,@NyackPatch,@NyackPatch,Tweet
339,@coldestwinters,@coldestwinters,Tweet
340,@lisabari,@lisabari,Tweet
341,@GinaInTheBurg,@AP,RT
342,@DrRobertGlatter,@bermaninstitute,RT
343,@NewRoPatch,@NewRoPatch,Tweet
344,@joe2bees,@joe2bees,Tweet
345,@Hillamadz,@CNN,RT
346,@Klovn,@Klovn,Tweet
347,@PelhamPatch,@PelhamPatch,Tweet
348,@Hillamadz,@CNN,RT
349,@NewCityPatch,@NewCityPatch,Tweet
350,@Hillamadz,@CNN,RT
351,@iamyemiyezi,@iamyemiyezi,Tweet
352,@pandrest,@CNN,RT
353,@DailyPublius,@DailyPublius,Tweet
354,@matatias,@CNN,RT
355,@ColumbiaMSPH,@cuepidemiology,RT
356,@veena725,@WHO,RT
357,@THilderley,@VIralBuzzNewss,RT
358,@smith_lassen,@ClimateReality,RT
359,@THilderley,@VIralBuzzNewss,RT
360,@jcrestani,@nytimes,RT
361,@PearlRiverPatch,@PearlRiverPatch,Tweet
362,@TraveleadsUK,@TraveleadsUK,Tweet
363,@aetiology,@HelenBranswell,RT
364,@tamys46,@STcom,RT
365,@DrRobertGlatter,@bermaninstitute,RT
366,@SMolloyDVM,@Westxgal,RT
367,@medsane,@CNN,RT
368,@YarnitaRdz,@ClimateReality,RT
369,@SMolloyDVM,@Westxgal,RT
370,@a_den_hartog,@a_den_hartog,Tweet
371,@iam_Qcee,@iam_Qcee,Tweet
372,@WindsorDw,@onahunttoday,RT
373,@smurphy2001,@frontlinepbs,RT
374,@dlNewZealand,@dlNewZealand,Tweet
375,@AlokKarDowerah,@JPNadda,RT
376,@muryi16,@muryi16,Tweet
377,@TarrytownsPatch,@TarrytownsPatch,Tweet
378,@HillaryKenyon,@CNN,RT
379,@aetiology,@HelenBranswell,RT
380,@DrRobertGlatter,@bermaninstitute,RT
381,@NyackPatch,@NyackPatch,Tweet
382,@aetiology,@HelenBranswell,RT
383,@racketnews,@racketnews,Tweet
384,@NRInstitute,@UniGreenwich,RT
385,@THilderley,@VIralBuzzNewss,RT
386,@ScarsdalePatch,@ScarsdalePatch,Tweet
387,@BBCWomansHour,@bbcworldservice,RT
388,@iloveseble,@NYC_Everyday,RT
389,@predictech,@CDCgov,RT
390,@HarrisonPatch,@HarrisonPatch,Tweet
391,@Klovn,@Klovn,Tweet
392,@edisonlsm,@CNN,RT
393,@iloveseble,@NYC_Everyday,RT
394,@PearlRiverPatch,@PearlRiverPatch,Tweet
395,@tamys46,@STcom,RT
396,@DrRobertGlatter,@bermaninstitute,RT
397,@bonelam,@CNN,RT
398,@NewCityPatch,@NewCityPatch,Tweet
399,@YorktownPatch,@YorktownPatch,Tweet
400,@OccuWorld,@OccuWorld,Tweet
401,@lisabari,@lisabari,Tweet
